song title,artist,energy
I'm Still Standing,Elton John,90
Africa,TOTO,37
Running Up That Hill (A Deal With God),Kate Bush,55
Here Comes The Sun - Remastered 2009,The Beatles,54
"Hey, Soul Sister",Train,89
Shut Up and Dance,WALK THE MOON,87
Hey Ya!,Outkast,97
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,53
Everywhere - 2017 Remaster,Fleetwood Mac,49
Brown Eyed Girl,Van Morrison,58
What's Up?,4 Non Blondes,56
Best Day Of My Life,American Authors,90
Mr. Blue Sky,Electric Light Orchestra,34
Smooth Operator - Single Version,Sade,58
Put Your Records On,Corinne Bailey Rae,51
I'm Yours,Jason Mraz,44
My Girl,The Temptations,42
Tongue Tied,GROUPLOVE,94
Drops of Jupiter (Tell Me),Train,64
Landslide,Fleetwood Mac,16
American Pie,Don McLean,48
Dancing in the Moonlight,Toploader,86
Sweet Caroline,Neil Diamond,13
Eyes Without A Face,Billy Idol,82
Don't Stop - 2004 Remaster,Fleetwood Mac,71
Dog Days Are Over,Florence + The Machine,81
Tiny Dancer,Elton John,43
Dreams,The Cranberries,64
Come and Get Your Love - Single Version,Redbone,80
Don't You (Forget About Me),Simple Minds,82
The Joker,Steve Miller Band,45
Young Folks,Peter Bjorn and John,81
Are You Gonna Be My Girl,Jet,95
Let's Stay Together,Al Green,40
Brandy (You're a Fine Girl),Looking Glass,63
Come On Eileen,Dexys Midnight Runners,66
Escape (The Pina Colada Song),Rupert Holmes,51
Love Grows (Where My Rosemary Goes),Edison Lighthouse,82
Spirit In The Sky,Norman Greenbaum,62
"Take Me Home, Country Roads",John Denver,43
Alright,Supergrass,96
Bennie And The Jets - Remastered 2014,Elton John,67
Don't Stop Me Now - Remastered 2011,Queen,87
Stacy's Mom,Fountains Of Wayne,75
Crazy On You,Heart,46
This Will Be (An Everlasting Love),Natalie Cole,62
I Try,Macy Gray,64
She's so High,Tal Bachman,84
Hey Lover,The Daughters Of Eve,48
Better Together,Jack Johnson,35
"Hold On, I'm Comin'",Sam & Dave,34
Don't Stop Believin',Journey,80
Home - 2019 - Remaster,Edward Sharpe & The Magnetic Zeros,63
Banana Pancakes,Jack Johnson,38
Don't Worry Be Happy,Bobby McFerrin,17
Go Your Own Way - 2004 Remaster,Fleetwood Mac,94
Send Me on My Way,Rusted Root,68
Our House,"Crosby, Stills, Nash & Young",21
Sweet Disposition,The Temper Trap,82
Edge of Seventeen,Stevie Nicks,83
There She Goes,The La's,85
Hooked On A Feeling,Blue Swede,82
(What A) Wonderful World,Sam Cooke,51
Do You Realize??,The Flaming Lips,80
Stuck In The Middle With You,Stealers Wheel,56
Beautiful Day,U2,93
Rich Girl,Daryl Hall & John Oates,64
Upside Down,Jack Johnson,66
Solsbury Hill,Peter Gabriel,63
Jump in the Line,Harry Belafonte,89
Should I Stay or Should I Go - Remastered,The Clash,84
Piano Man,Billy Joel,48
Lovely Day,Bill Withers,56
Good Vibrations - Remastered 2001,The Beach Boys,50
Tainted Love,Soft Cell,45
Peggy's Cove,Sarah Watson,9
Lisser,Miran,6
Morning Dance,Amine Ayad,6
White Garden,Amine Ayad,7
Echoes,Crimson Memoirs,7
Ottilia,Yana Couto,10
Aufgang der Sonne,Ploxxio,4
Hour of Rest,William Cas,1
Starry Sky,April Baxter,3
"Waltz No. 1, Collapse",Hikaru Shirosu,2
Mystique,Cassandra Nestico,5
Without You,April Baxter,3
Lost Frequencies,Cecile Roy,5
Peace Frame,Mauvais Roger,10
Feeling for the next,Noemi Lucas,3
I Still Miss You,Boil The Ocean,4
Utsjoki,Vegard,6
Fleurs de cerisier,Chloé Czans,5
Homestead,Chris Donner,9
Arcticgrey,The Masked Pianoman,0
Sunlight,Sanna Aalto,10
Verse and stanza,Aimon Cour,3
Ingénue,Nino Carl,3
Sailing Away,Anthony Jacobus,2
Traumtänzer,Lisa Kriegler,2
Oaks Bluffs,Elinaura,11
Secret Language (Solo Piano Version),Sonny Santos,3
With Ease,Loumi Des Moines,2
Emerald Enlightenment,Aramis Morel,3
River Running Free,Miriam Raye,7
Stundom,Jacob David,3
Apelblom,Alfred Janders,3
Thirst,Tales of Vibrations,5
nyvallen,Ove Roos,11
Place to Remember,Rich Mortimer,8
Når du er nær,Leah Dreyer,9
Corrente,Scott Laudier,4
Up toward the sky,Thomas Preber,3
Fare la limonata,Anastasio Confortola,21
Waltz For Nala,Igulfrid,5
Rondel,Lydia Webber,1
De seu,Mirta da Silva,3
Interstellar Seasons,Thalia Havenstein,5
Seeds Of Life,Aestivum,3
Days from Before,Niall Byrne,3
Sunday Morning,Hope Denison,3
Kalopsia,Taganema,9
Falke,Ludwig Bern,1
Progression,Victor Kovacs,20
Frühlingsbach,Pontiver Bogross,24
Placid,Anoire,3
Pulse of living light,Ennis Elder,2
Vicino a te,Maura Bellucci,9
Tomorrow,HILLEVI,6
Training Wheels,Arelius,5
Sonata del Giardino,Domani Fendi,4
The Belfry,Jessy Ribordy,6
Lady Ground,Luna Bauer,9
Sun Crosses The Sky,Anon Berg,8
Pour toujours,Bernadette Boulet,6
Solace,Lucile Colbert,13
To Be Loved,Day Blue,4
Fristad,Domi Nova,21
After The Rain,Dario Crisman,4
Once Before,Franz Gordon,3
Onthou,Ever So Blue,5
Nordic Dream,Anders Linros,4
Presque l'amour,Roland Toubin,3
Freedom,Ron Adelaar,6
Spring,Anna Sofia Nord,3
Con Le Zampe,Pied-à-Terre,7
Blessed Days,Xie Qi,7
Prozatím,Zuzana Kudová,7
Prelude to Elegance,Paul Barber,2
My Adored,Otis Son,2
Secret Admirer,Carl Easterling,7
Australia,Aquilegia,2
Butterflies,Colias Fieldii,3
Con el tiempo todo se consigue,Claribel Ramón,9
Creeks,Lilly Eaton,5
Lucie,Wings for Louise,2
Island,Dean Caplan,7
Something Like Love,James Keer,4
Brothers,Christian Janssen,3
Return of the swans,Genevieve Melton,21
Sundara,Moldoveanu,2
Vivendi,Alfred Mizzi,11
Yamasá,Teide,7
Dordogne Peace,Magnus Ludvigsson,18
Yellow Man,Ramin Kuliev,1
The River,Genevieve Melton,7
Storytelling,Albin Svensson,4
"Looking Forward, Looking Backward",Robin Bennich,9
Never Unsaid,Aleisha Millar,12
Equus,S.A. Karl,4
schemering,Jaidy Thissen,10
Nuove stelle,Carlo Boscoli,3
Sous le Pluie,Agatha Messina,5
Free,Kristoffer Wallin,5
I Dare Not Dream,Mírabilis,2
On a summer midnight,Qunfan Wen,4
Up and Away,Gina Ordonieva,7
Shu's Sonata,Mayumi Sasaki,2
In Good And Bad Times,Leon den Engelsen,3
Empty Pews,John Thomas Remington,5
Bubbles,Michel Jean,4
the time has come,Alfons Daiminger,1
"Night Bird, Night Song",Camilla Turgot,3
dans mes rêves,Kjøpmann,4
Gratitude,Eadgar Évariste,4
Infinity clouds,Liu Ju,4
Kiriume,Arden Forest,11
Vejez,Miguel Pérez,17
The Chapel,Edgar De Vries,3
Starlight Canyon,Lok Hanzo,3
Trei,Hiroko Murakami,2
Le Lac des Buttes,Nicolas Dupain-Aignon,5
Introspective,Phlox Sage,2
Cascading Light,Winston Church,16
Hands and Feet,Samuel Félix,11
Simpler Times,Christopher J. Richardson,4
Stirling,Tuga Topić,8
Pour tous les cœurs du monde,Olivier Mournier,4
Entre les Lignes,Lou Maxence,2
A Thought Evoked,Chloé Czans,3
Calas de Roche,Paco Ruiz,4
Peace In Water,Carl Faber,12
Roseraie,April Baxter,5
Le Bonheur,Mauvais Roger,6
Ballerina,Anne Straub,5
Your Love,William Cas,5
Felicity,Hugo Reilly,4
Je rougis,Zdenek Lemelin,7
New Dimensions,Etne Skiöld,2
Singing Bird,Wyatt Elil,5
Parallel,Kendra Logozar,4
Fleeting Glance,R Eugene,15
Plane Of Incidence,Signe Bratlie,30
Theme from Lazarus,Federico Montoya,7
Soothing Voices,Portia Price,5
Hand Woven Clouds,Polly Carter,1
Le coeur du ciel,Mírabilis,11
Sonnenblume,Oscar Sergel,14
Perspectives,Gunnel Boek,11
Gullviva,Alfred Janders,3
Eisriesenwelt,Maik Kuefer,16
On The Way Home,Dario Crisman,4
Valse,Egor Grushin,2
Let It Be Us,Tjeerd Oosterhuis,7
Op Reis (Traveling),Doeke,3
A Picture Of Her,Derick Carson,7
Si proche,Zdenek Lemelin,7
Page blanche,Leone Frederic,3
Ti sto aspettando,Fioretta Rizzo,11
Ámbar,Dwight Rivera,2
Sommer,Philipp Hasse,25
Gentle Hands,Anne Straub,4
Charlie's Dream,Alexander Motovilov,7
Love Letter,Damien Jeunet,6
Little Bird,Richard Sauzal,2
Water Lilies,John Vegard Schow,4
Simply Love,Højsgaard,5
Allegrini,Valentina Barbarella,5
La creacion,Juergen Steltzer,4
Liedchen,Christian Menke,4
When Twilight Ends,Leslie Miles,2
Mandeville,Moleno,4
Watching Juliette,Søme,6
Girasole,Teide,6
Shimmer,Dylan John Sparkes,9
Lilt,Eugene Goh,13
Forever,Affinity88,3
Toujours,Anne Vallayer,16
Son De Pluie,Martin La Pelle,6
Notre terre,Mattéo Roussel,29
Beneath the Surface,Manu Calhu,6
Blomstre,Catherine Peterson,3
Jeunesse du printemps,Alicia West,8
Klang,Gjermund,7
"This day, a life",Thomas Perceval,5
Pray,Taichi Chishaki,6
On My Way Home,Akira Kosemura,7
Retreat,Justus Rümenapp,4
Alentejo,Dwight Rivera,4
"Du bist mîn, ich bin dîn",Garreth Broke,9
Rêve Du Matin,Paul Herfort,23
Memoirs,Affinity88,7
in the rain,Zecil Malka,11
Un Voyage Á Paris,Cameron Segal,8
Comme un tableau,Jean Willneuve,7
Lemons In London,Jesse Brown,9
Inner Peace,Lianne Steeman,2
Brighter Days,Andrew Lodge,9
Could It Be?,Winston Church,9
Mistral,DeLange,10
Kleiner Schmetterling,David Fenger,11
Bundle of Joy,Brother James,9
Solarised,Biba Dupont,3
Blumenwiese,Paul Herfort,6
Play,Noël,19
One Ordinary Day,Tim Firth,3
Childhood Friends,Noël,20
Stay Close,Larry McDavid,6
Blue Dream (Softly),Fiona Joy Hawkins,3
Contemplate,Noël,7
Floating Alone,Sylvio,11
Las Torres,Rafael Zoko,7
Speicherstadt,Stephan Neudorf,8
Marlina,Amos Coelllo,2
Chambers,Ali Toygar,3
Whimsical,Matt Stewart-Evans,5
Sonder,Eugene Goh,10
I'm Good (Blue),David Guetta,97
I Ain't Worried,OneRepublic,80
Rush,Troye Sivan,84
Made You Look,Meghan Trainor,53
If We Ever Broke Up,Mae Stephens,73
Players,Coi Leray,52
Rock My Body,R3HAB,82
Numb,Marshmello,77
Sunshine,OneRepublic,88
Budapest,George Ezra,46
Whistle (feat. Calum Scott),Jax Jones,88
Padam Padam,Kylie Minogue,62
Music For a Sushi Restaurant,Harry Styles,72
Castle on the Hill,Ed Sheeran,83
Green Green Grass,George Ezra,74
Crazy What Love Can Do,David Guetta,71
Love Lost,Mac Miller,81
Heaven,Niall Horan,76
About Damn Time,Lizzo,74
Where Did You Go? (feat. MNEK),Jax Jones,78
Queen of Kings,Alessandra,91
Hold Me Closer,Elton John,75
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,67
Remember,Becky Hill,86
Dancing In The Moonlight (feat. NEIMY),Jubël,62
Waffle House,Jonas Brothers,76
2 Be Loved (Am I Ready),Lizzo,77
I'm Not Here To Make Friends,Sam Smith,90
AOK,Tai Verdes,63
3 Nights,Dominic Fike,52
Fancy Like,Walker Hayes,77
My Stupid Heart,Walk off the Earth,68
Hot In It,Tiësto,84
Magic In The Hamptons (feat. Lil Yachty),Social House,48
Alone (with Nicki Minaj),Kim Petras,51
Run,OneRepublic,72
Never Gonna Not Dance Again,P!nk,80
Sweetest Pie,Megan Thee Stallion,63
Lottery (feat. LU KALA),Latto,87
Anyone For You (Tiger Lily),George Ezra,81
Woke Up in Love,Kygo,59
Cover Me In Sunshine,P!nk,59
Dancing Feet (feat. DNCE),Kygo,80
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,89
4runner,Brenn!,51
Betty (Get Money),Yung Gravy,77
Wonder,Shawn Mendes,64
Eyes On You,Nicky Youre,79
Mariposa,Peach Tree Rascals,53
2step,Ed Sheeran,66
people pleaser,Cat Burns,76
Love You For A Long Time,Maggie Rogers,67
Lil Bit,Nelly,69
Rescue Me,OneRepublic,61
Special (feat. SZA),Lizzo,72
Missing Piece,Vance Joy,88
Down Under (feat. Colin Hay),Luude,86
Fly Away,Tones And I,51
Satellite,Khalid,73
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,74
Drown (feat. Clinton Kane),Martin Garrix,74
Shut Me Up,Nicky Youre,72
C'est La Vie (with bbno$ & Rich Brian),Yung Gravy,78
Way Less Sad,AJR,55
The Drum,Alan Walker,76
I Feel Good,Pink Sweat$,75
Remind Me,Tom Grennan,83
Somebody To You,The Vamps,85
last day on earth,Tai Verdes,55
Dandelion,Galantis,66
Destination,Crash Adams,83
90s Kids,Jax,66
sun keeps on shining,almost monday,77
I'm So Happy (with BENEE),Jeremy Zucker,43
Wave of You,Surfaces,66
Cloudy Day,Tones And I,78
The Good Part,AJR,48
Fake A Smile,Alan Walker,55
Holiday,KSI,68
SAD B!TCH,Anne-Marie,69
You (with Marshmello & Vance Joy),benny blanco,56
FREEDOM,Jon Batiste,65
Sheesh!,Surfaces,83
pogo,bbno$,97
3 outfits,Tai Verdes,88
Common (with Big Sean),Quinn XCII,56
Bones,Imagine Dragons,75
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,78
Moth To A Flame (with The Weeknd),Swedish House Mafia,66
Natural,Imagine Dragons,61
Unholy (feat. Kim Petras),Sam Smith,46
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,72
Acapulco,Jason Derulo,79
Red Ruby Da Sleeze,Nicki Minaj,73
Lights - Sped Up Version,Ellie Goulding,84
Hero,Martin Garrix,70
Frozen,Madonna,63
High,The Chainsmokers,79
Run It (feat. Rick Ross & Rich Brian),DJ Snake,73
Saturday/Sunday,Jason Derulo,78
Self Destruction Mode,The Chainsmokers,63
Shut Up,Alan Walker,61
One Of Us,Ava Max,84
Ghost,Ava Max,93
Shockwave,Marshmello,88
You Only Love Me,Rita Ora,74
WOW (feat. Sabrina Carpenter) - Remix,Zara Larsson,74
Tennis Court - Flume Remix,Lorde,58
Gimme (feat. Koffee & Jessie Reyez),Sam Smith,45
Cold As Ice,Ava Max,77
Numb - Alok Remix,Marshmello,97
Anti-Hero - ILLENIUM Remix,Taylor Swift,72
Run - Collins Remix,OneRepublic,75
Sunshine - MOTi Remix,OneRepublic,77
Satisfaction,David Guetta,94
I'm Good (Blue) - Oliver Heldens Remix,David Guetta,90
Bones - twocolors Remix,Imagine Dragons,76
"Genius (feat. Sia, Diplo, and Labrinth) - Lil Wayne Remix",Sia,76
Sweetest Pie - David Guetta Dance Remix,Megan Thee Stallion,80
Everything But You (feat. A7S) - Luude Remix,Clean Bandit,79
End Of Time - Justin Caruso Remix,Zara Larsson,90
Big (feat. Gunna),Rita Ora,85
Unholy (feat. Kim Petras) - Disclosure Remix,Sam Smith,78
I Been On - Homecoming Live,Beyoncé,68
Easy Lover - Jax Jones Remix,Ellie Goulding,89
Life Goes On - Alok Remix,Oliver Tree,78
Million Dollar Baby - Nathan Dawe Remix,Ava Max,84
Call on Me,Bebe Rexha,85
Crazy What Love Can Do (with Becky Hill) [Öwnboss Remix],David Guetta,70
So Good - Jax Jones Remix,Halsey,83
Demons - TELYKast Remix,Imagine Dragons,73
Unholy (feat. Kim Petras) - Nova Twins Remix,Sam Smith,90
I Know,Unclean,87
High - Don Diablo Remix,The Chainsmokers,90
Before You Go - Guitar Acoustic,Lewis Capaldi,45
Mended,Vera Blue,54
I Never Told You,Colbie Caillat,63
All We Do,Oh Wonder,28
Miserable Man,David Kushner,35
Romantic Homicide,d4vd,54
Just A Dream,Nelly,83
listen before i go,Billie Eilish,6
Big Girls Don't Cry (Personal),Fergie,65
This Town,Niall Horan,41
Control,Zoe Wees,47
Someone Else,Alexander Oscar,60
Hard to Sleep,Gracie Abrams,15
Girls Like Us,Zoe Wees,65
Ribs,Lorde,47
Falling Up,Dean Lewis,76
Summertime Sadness,Lana Del Rey,67
Arcade,Duncan Laurence,35
What A Time,Julia Michaels,47
Someone New,Eskobar,54
IDK You Yet,Alexander 23,31
Bruises,Lewis Capaldi,32
How Do I Say Goodbye,Dean Lewis,64
Breathe Me,Sia,55
Flowers Need Rain - Acoustic,Preston Pablo,26
It'll Be Okay,Shawn Mendes,26
Run Away to Mars,TALK,38
Video Games,Lana Del Rey,26
Diamonds - Live At Abbey Road Studios,Sam Smith,60
Strong,Arkells,23
Writer In The Dark,Lorde,27
Bored,Billie Eilish,32
Beautiful Scars,Maximillian,46
"I miss you, I’m sorry",Gracie Abrams,45
Try,Colbie Caillat,39
More Than Life,Whitley,44
The Hardest Part - Acoustic,Olivia Dean,20
Half A Man,Dean Lewis,20
Heather,Conan Gray,43
Leave Me,Jada,47
happier,Olivia Rodrigo,44
Kill Em With Kindness - Acoustic,Selena Gomez,21
Lose You To Love Me,Selena Gomez,34
Scared To Live,The Weeknd,50
the breakup.,MOODY,34
I Hate This Part,The Pussycat Dolls,63
drown,Elliot,28
Hey There Delilah,Plain White T's,29
Smile,Gregory Porter,20
You and I,d4vd,94
Stone Cold,Demi Lovato,45
My Immortal,Evanescence,26
Scars To Your Beautiful,Alessia Cara,74
The Hardest Part,Olivia Dean,57
Is It Just Me?,Emily Burns,34
2 Much,Justin Bieber,44
Now That I Think About It,Alex Vargas,73
changes,XXXTENTACION,31
Happy Ending,MIKA,47
Sleep Well,d4vd,38
Confessions,Jamie Fine,38
Remember - Acoustic,Becky Hill,38
Unsteady,X Ambassadors,83
NUMB,XXXTENTACION,41
Simple As This,Jake Bugg,60
Anchor,Soran,67
As the World Caves In,Sarah Cothran,25
Still Alive,Maximillian,37
London Is Lonely,Holly Humberstone,43
Seventeen Going Under,Sam Fender,87
Fingers Crossed,Lauren Spencer Smith,47
Ripples,Maximillian,35
I'll Be Waiting,Cian Ducrot,64
You Are The Reason,Calum Scott,24
The Mess I Made,Parachute,58
Walked Through Hell,Anson Seabra,40
In My Mind,Lyn Lapid,38
Apologize,OneRepublic,73
Feels Like,Gracie Abrams,48
Anyway,Noah Kahan,16
what if i took it off for you?,Nemahsis,24
Impossible,Shontelle,59
Lonely,Justin Bieber,24
Mariners Apartment Complex,Lana Del Rey,29
if this is the last time,LANY,59
Broken,Jake Bugg,41
could cry just thinkin about you - Full Version,Troye Sivan,32
Remember - Acoustic / Sped Up,Becky Hill,51
everything i wanted - Prime Day Show x Billie Eilish,Billie Eilish,38
Unlearn,benny blanco,21
TV,Billie Eilish,24
emails i can’t send,Sabrina Carpenter,39
Me And My Broken Heart,Rixton,81
Somewhere Only We Know,Keane,66
Make It To Me,Sam Smith,38
Teenage Tears,Arkells,35
"Read All About It, Pt. III",Emeli Sandé,52
Say You Love Me,Jessie Ware,46
Make You Mine - Acoustic,PUBLIC,39
All For You,Cian Ducrot,29
Haunted House,Holly Humberstone,27
Perfectly Wrong,Shawn Mendes,31
How Long Will I Love You,Ellie Goulding,32
I Lied,Lord Huron,27
Oblivion,Bastille,32
People Watching,Conan Gray,59
Family Line,Conan Gray,40
Camden,Gracie Abrams,26
comethru,Jeremy Zucker,18
Losing You,Aquilo,44
Hunger,Florence + The Machine,68
Wolves,Azure Ryder,21
You Make It Real,James Morrison,57
Before You Go,Lewis Capaldi,57
You & Jennifer,bülow,70
I'm Not Calling You A Liar,Florence + The Machine,51
Hotel,Montell Fish,43
Astronomy,Conan Gray,34
As It Was,Harry Styles,73
Me Porto Bonito,Bad Bunny,71
Something in the Orange,Zach Bryan,19
Jimmy Cooks (feat. 21 Savage),Drake,67
Ojitos Lindos,Bad Bunny,69
Tití Me Preguntó,Bad Bunny,72
Efecto,Bad Bunny,48
Wasted On You,Morgan Wallen,66
Late Night Talking,Harry Styles,73
I Like You (A Happier Song) (with Doja Cat),Post Malone,67
WAIT FOR U (feat. Drake & Tems),Future,64
Sunroof,Nicky Youre,71
Moscow Mule,Bad Bunny,67
Glimpse of Us,Joji,32
abcdefu,GAYLE,54
Levitating,Dua Lipa,88
Buy Dirt,Jordan Davis,56
Knife Talk (with 21 Savage ft. Project Pat),Drake,42
Rock and A Hard Place,Bailey Zimmerman,57
You Should Probably Leave,Chris Stapleton,48
First Class,Jack Harlow,58
Bad Habit,Steve Lacy,51
Boyfriend,Dove Cameron,61
Party,Bad Bunny,80
PUFFIN ON ZOOTIEZ,Future,66
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,60
Fall In Love,Bailey Zimmerman,64
PROVENZA,KAROL G,52
Bam Bam (feat. Ed Sheeran),Camila Cabello,70
Oh My God,Adele,73
Después de la Playa,Bad Bunny,90
Sand In My Boots,Morgan Wallen,54
Get Into It (Yuh),Doja Cat,66
You Proof,Morgan Wallen,85
The Kind of Love We Make,Luke Combs,75
Super Freaky Girl,Nicki Minaj,89
MAMIII,Becky G,70
All Too Well (Taylor's Version),Taylor Swift,53
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,45
One Right Now (with The Weeknd),Post Malone,78
pushin P (feat. Young Thug),Gunna,42
Numb Little Bug,Em Beihold,53
Surface Pressure,Jessica Darrow,58
Hrs & Hrs,Muni Long,55
Super Gremlin,Kodak Black,41
Big Energy,Latto,81
All I Want for Christmas Is You,Mariah Carey,63
5 Foot 9,Tyler Hubbard,80
Broadway Girls (feat. Morgan Wallen),Lil Durk,75
she's all i wanna be,Tate McRae,64
Flower Shops (feat. Morgan Wallen),ERNEST,46
BREAK MY SOUL,Beyoncé,89
I Hate U,SZA,39
Take My Name,Parmalee,66
What Happened To Virgil (feat. Gunna),Lil Durk,53
TO THE MOON,JNR CHOI,65
Til You Can't,Cody Johnson,81
In A Minute,Lil Baby,61
Like I Love Country Music,Kane Brown,82
Smokin Out The Window,Bruno Mars,62
Rockin' Around The Christmas Tree,Brenda Lee,47
Essence (feat. Justin Bieber & Tems),Wizkid,69
Jingle Bell Rock,Bobby Helms,42
She Likes It (feat. Jake Scott),Russell Dickerson,33
Trouble With A Heartbreak,Jason Aldean,80
One Mississippi,Kane Brown,85
Last Night Lonely,Jon Pardi,82
Doin' This,Luke Combs,55
AA,Walker Hayes,75
Damn Strait,Scotty McCreery,64
A Holly Jolly Christmas,Burl Ives,38
Never Say Never (with Lainey Wilson),Cole Swindell,94
Circles Around This Town,Maren Morris,81
She Had Me At Heads Carolina,Cole Swindell,91
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,55
Nonsense,Sabrina Carpenter,70
SNAP,Rosa Linn,64
Sure Thing,Miguel,61
Single Soon,Selena Gomez,57
Where Are You Now,Lost Frequencies,64
RUNAWAY,OneRepublic,68
Unstoppable,Sia,78
Electric Love,BØRNS,80
TRUSTFALL,P!nk,89
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,59
Light Switch,Charlie Puth,63
Celestial,Ed Sheeran,85
Lil Boo Thang,Paul Russell,70
Someone To You,BANNERS,90
When I’m Gone (with Katy Perry),Alesso,89
Make You Mine,PUBLIC,80
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,58
Coast (feat. Anderson .Paak),Hailee Steinfeld,88
Victoria's Secret,Jax,56
Can I Get It,Adele,68
World's Smallest Violin,AJR,70
NO BAD DAYS (feat. Collett),Macklemore,86
You,Dan + Shay,57
Clarity,Vance Joy,87
favorite kind of high,Kelly Clarkson,80
Wonder Woman,John Legend,48
CUFF IT,Beyoncé,73
Little Bit of Love,Tom Grennan,71
Joy,Andy Grammer,79
N95,Kendrick Lamar,67
"Living Life, In The Night",Cheriimoya,50
Ambition For Cash,Key Glock,73
YuNg BrAtZ,XXXTENTACION,70
TOXIC,YOUNGX777,95
vent,Baby Keem,38
Adonis Interlude (The Montage) (with J. Cole),Dreamville,83
HEATSEEKER,$werve,84
LED,OmenXIII,66
Gimme a Second,Saliva Grey,72
Fighter,The Score,84
Royalty - Wiguez & Alltair Remix,Egzod,90
GHOSTKILLA,1nonly,86
LIGHTS OUT,Kxllswxtch,87
Dynasties & Dystopia (from the series Arcane League of Legends),Denzel Curry,83
Advanced - Remix,callmestevieray,65
JOKER,Dax,70
Euro$tep,West,58
Violin,Cookiee Kawaii,88
Cyberfreak,Khantrast,43
The Call,League of Legends,54
PUT YOU ON GAME,Russ,69
Another Level,Oh The Larceny,78
Satin Black,iamjakehill,68
Hasty,conscience,75
THE REV3NGE,Joey Bada$$,85
RNA,Katori Walker,76
Go!,NEFFEX,88
MAMBO,DIRTYXAN,51
BLACK LAGOON,Kxllswxtch,55
Bunny Thot,Khantrast,85
Coward,iamjakehill,54
D13.,Kill Dyll,92
the motive,BTWRKS,82
HOW YOU DOIN?,DIRTYXAN,46
Ready or Not,Hulvey,66
I'm A Monster,Lucha,91
Back From the Dead,iamjakehill,79
Okay I'm Turnt - Remix,DJ Fronteo,55
Carolina Reaper,Ryan Caraveo,77
Spirits Pt. 2,Party Favor,97
ILLANOISE,NXTMIKE,56
Baby Stop,Altajmusic,39
Sarcophagus,do not resurrect,73
Get Me Hype (Intro),Lebra Jolie,66
KNOCKED OUT,Canon,67
Fall in Line,Yung Rare,83
Ballin,Logic,87
