song title,artist,energy,song and artist
Dream Circuit,Focal Point,24,"Dream Circuit by, Focal Point"
Momentum,Monocle Twins,25,"Momentum by, Monocle Twins"
Bull’s Eye,Tom Kalani,34,"Bull’s Eye by, Tom Kalani"
Limitless,Lucas Delphy,19,"Limitless by, Lucas Delphy"
Water Colors,Star Slide,12,"Water Colors by, Star Slide"
Presence,Van Stiles,29,"Presence by, Van Stiles"
Auburn Sky,Toledo Rains,4,"Auburn Sky by, Toledo Rains"
Malibu,Matthew Harvey,15,"Malibu by, Matthew Harvey"
Crystal Shores,Dean Valio,3,"Crystal Shores by, Dean Valio"
Drifting,Silje Månsson,3,"Drifting by, Silje Månsson"
Waiting,Sheltered Solitude,8,"Waiting by, Sheltered Solitude"
Willow - Instrumental Version,Seth Luke,14,"Willow - Instrumental Version by, Seth Luke"
Keeping it together,Isaak Young,9,"Keeping it together by, Isaak Young"
Blue Days,Louaminé,8,"Blue Days by, Louaminé"
Neon Sky,Garden Collective,10,"Neon Sky by, Garden Collective"
"Dolly Suite, Op. 56: I. Berceuse",Gabriel Fauré,1,"Dolly Suite, Op. 56: I. Berceuse by, Gabriel Fauré"
Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille,Georges Bizet,1,"Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille by, Georges Bizet"
"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": I. Allegro ma non troppo, ""Awakening of cheerful feelings on arriving in the countryside""",Ludwig van Beethoven,6,"Symphony No. 6 in F Major, Op. 68, ""Pastorale"": I. Allegro ma non troppo, ""Awakening of cheerful feelings on arriving in the countryside"" by, Ludwig van Beethoven"
Merry-Go-Round of Life,Joe Hisaishi,19,"Merry-Go-Round of Life by, Joe Hisaishi"
amour,Jean-Michel Blais,21,"amour by, Jean-Michel Blais"
"Antiche Danze Ed Arie Per Liuto (Ancient Airs And Dances), P. 114: IV. Italiana",Ottorino Respighi,2,"Antiche Danze Ed Arie Per Liuto (Ancient Airs And Dances), P. 114: IV. Italiana by, Ottorino Respighi"
"Salut d'amour, Op. 12",Edward Elgar,13,"Salut d'amour, Op. 12 by, Edward Elgar"
"Boccherini: String Quintet in E Major, Op. 13 No. 6, G. 282: III. Minuetto - Trio",Luigi Boccherini,4,"Boccherini: String Quintet in E Major, Op. 13 No. 6, G. 282: III. Minuetto - Trio by, Luigi Boccherini"
"3 Nouvelles etudes, Op. posth.: II. Etude No. 26 in A-Flat Major",Frédéric Chopin,1,"3 Nouvelles etudes, Op. posth.: II. Etude No. 26 in A-Flat Major by, Frédéric Chopin"
"Widmung, Op. 25 No. 1",Robert Schumann,3,"Widmung, Op. 25 No. 1 by, Robert Schumann"
"GoldBergHain (Quodlibet on ""Kraut und Rüben haben mich vertrieben"") for Violin & String Orchestra",Stephan Koncz,13,"GoldBergHain (Quodlibet on ""Kraut und Rüben haben mich vertrieben"") for Violin & String Orchestra by, Stephan Koncz"
La Gioconda / Act 3: Dance Of The Hours,Amilcare Ponchielli,1,"La Gioconda / Act 3: Dance Of The Hours by, Amilcare Ponchielli"
Copland: Appalachian Spring: VII. Doppio movimento (Variations on a Shaker Hymn - Simple Gifts),Aaron Copland,10,"Copland: Appalachian Spring: VII. Doppio movimento (Variations on a Shaker Hymn - Simple Gifts) by, Aaron Copland"
"Concerto a 5 in B flat, Op. 7, no.10 for Strings and Continuo: 3. Allegro",Tomaso Albinoni,17,"Concerto a 5 in B flat, Op. 7, no.10 for Strings and Continuo: 3. Allegro by, Tomaso Albinoni"
"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace",Louise Farrenc,5,"Nonet in E-Flat Major, Op. 38: III. Scherzo. Vivace by, Louise Farrenc"
My Neighbour TOTORO,Joe Hisaishi,30,"My Neighbour TOTORO by, Joe Hisaishi"
"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12e Dance of the Reed Pipes",Pyotr Ilyich Tchaikovsky,12,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12e Dance of the Reed Pipes by, Pyotr Ilyich Tchaikovsky"
"Petite suite de concert, Op. 77: III. Un sonnet d'amour",Samuel Coleridge-Taylor,1,"Petite suite de concert, Op. 77: III. Un sonnet d'amour by, Samuel Coleridge-Taylor"
Miracles,Alexis Ffrench,10,"Miracles by, Alexis Ffrench"
"An der schönen blauen Donau, Walzer, Op. 314",Johann Strauss II,9,"An der schönen blauen Donau, Walzer, Op. 314 by, Johann Strauss II"
"Préludes / Book 1, L. 117: VIII. La fille aux cheveux de lin (Arr. Garrett / van der Heijden for Violin, Flute and Orchestra)",Claude Debussy,28,"Préludes / Book 1, L. 117: VIII. La fille aux cheveux de lin (Arr. Garrett / van der Heijden for Violin, Flute and Orchestra) by, Claude Debussy"
Canarios,Gaspar Sanz,8,"Canarios by, Gaspar Sanz"
Kitsch-Musik: III. Allegretto,Valentin Silvestrov,0,"Kitsch-Musik: III. Allegretto by, Valentin Silvestrov"
The Lark Ascending: I. Andante sostenuto,Ralph Vaughan Williams,8,"The Lark Ascending: I. Andante sostenuto by, Ralph Vaughan Williams"
"Dances in the Canebrakes (Arr. W.G. Still for Orchestra): No. 1, Nimble Feet",Florence Beatrice Price,8,"Dances in the Canebrakes (Arr. W.G. Still for Orchestra): No. 1, Nimble Feet by, Florence Beatrice Price"
Il Tempo delle Cose,Alberto Giurioli,16,"Il Tempo delle Cose by, Alberto Giurioli"
"3 Concert Études, S. 144: No. 3 in D-Flat Major, ""un sospiro""",Franz Liszt,6,"3 Concert Études, S. 144: No. 3 in D-Flat Major, ""un sospiro"" by, Franz Liszt"
"Tchaikovsky: Serenade for Strings in C, Op. 48 - 2. Walzer: Moderato (Tempo di valse)",Pyotr Ilyich Tchaikovsky,22,"Tchaikovsky: Serenade for Strings in C, Op. 48 - 2. Walzer: Moderato (Tempo di valse) by, Pyotr Ilyich Tchaikovsky"
African Suite: V. Akinla: Allegro non troppo,Fela Sowande,1,"African Suite: V. Akinla: Allegro non troppo by, Fela Sowande"
Un homme et une femme,Gautier Capuçon,12,"Un homme et une femme by, Gautier Capuçon"
"Les Patineurs, Waltz, Op. 183",Émile Waldteufel,15,"Les Patineurs, Waltz, Op. 183 by, Émile Waldteufel"
Les Beautés Du Diable,François Dompierre,11,"Les Beautés Du Diable by, François Dompierre"
The Waltzing Cat,Leroy Anderson,7,"The Waltzing Cat by, Leroy Anderson"
Concerto Magna Carta: III. Intense and energetic,John Brunning,28,"Concerto Magna Carta: III. Intense and energetic by, John Brunning"
"Oboe Concerto in C Major, K. 314: III. Rondo (Allegretto) - Cadenza: Randall Wolfgang",Wolfgang Amadeus Mozart,12,"Oboe Concerto in C Major, K. 314: III. Rondo (Allegretto) - Cadenza: Randall Wolfgang by, Wolfgang Amadeus Mozart"
"Concerto for 2 Mandolins, Strings and Continuo in G Major, RV. 532: III. Allegro",Antonio Vivaldi,21,"Concerto for 2 Mandolins, Strings and Continuo in G Major, RV. 532: III. Allegro by, Antonio Vivaldi"
"Concerto No. 4 in E-Flat Major, K.495: III. Rondo. Allegro Vivace",Wolfgang Amadeus Mozart,13,"Concerto No. 4 in E-Flat Major, K.495: III. Rondo. Allegro Vivace by, Wolfgang Amadeus Mozart"
Julie-O,Mark Summer,14,"Julie-O by, Mark Summer"
"The Birds, P. 154: V. The Cuckoo (Il cuccù)",Ottorino Respighi,3,"The Birds, P. 154: V. The Cuckoo (Il cuccù) by, Ottorino Respighi"
Open Strings,Kaiser Quartett,13,"Open Strings by, Kaiser Quartett"
"Antiche danze ed arie per liuto, Suite No. 1, P. 109: I. Balletto detto Il Conte Orlando",Ottorino Respighi,10,"Antiche danze ed arie per liuto, Suite No. 1, P. 109: I. Balletto detto Il Conte Orlando by, Ottorino Respighi"
Harp Concerto in A major: 3. Rondeau: Allegretto,Carl Ditters von Dittersdorf,13,"Harp Concerto in A major: 3. Rondeau: Allegretto by, Carl Ditters von Dittersdorf"
"String Quintet in C Major, Op. 29: III. Scherzo (Allegro)",Ludwig van Beethoven,9,"String Quintet in C Major, Op. 29: III. Scherzo (Allegro) by, Ludwig van Beethoven"
Serenade in D Major: II. Scherzo. Allegro vivace,Dame Ethel Smyth,6,"Serenade in D Major: II. Scherzo. Allegro vivace by, Dame Ethel Smyth"
"An die Musik, D. 547 - Arr. for Arpeggione and Piano",Franz Schubert,3,"An die Musik, D. 547 - Arr. for Arpeggione and Piano by, Franz Schubert"
"Violin Concerto in B-Flat Major, Op. 10 No. 1: I. Allegro",Jean-Marie Leclair,13,"Violin Concerto in B-Flat Major, Op. 10 No. 1: I. Allegro by, Jean-Marie Leclair"
"Serenade No. 2 in A Major, Op. 16: 2. Scherzo. Vivace",Johannes Brahms,22,"Serenade No. 2 in A Major, Op. 16: 2. Scherzo. Vivace by, Johannes Brahms"
"Lucio Silla, K. 135: Overture, Pt. 1. Andante",Wolfgang Amadeus Mozart,1,"Lucio Silla, K. 135: Overture, Pt. 1. Andante by, Wolfgang Amadeus Mozart"
"Trumpet Concerto in E Flat, H.VIIe/1: 3. Allegro",Joseph Haydn,20,"Trumpet Concerto in E Flat, H.VIIe/1: 3. Allegro by, Joseph Haydn"
Cruel Summer,Taylor Swift,70,"Cruel Summer by, Taylor Swift"
Seven (feat. Latto) (Explicit Ver.),Jung Kook,83,"Seven (feat. Latto) (Explicit Ver.) by, Jung Kook"
LALA,Myke Towers,74,"LALA by, Myke Towers"
Paint The Town Red,Doja Cat,54,"Paint The Town Red by, Doja Cat"
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,9,"What Was I Made For? [From The Motion Picture ""Barbie""] by, Billie Eilish"
vampire,Olivia Rodrigo,53,"vampire by, Olivia Rodrigo"
Dance The Night - From Barbie The Album,Dua Lipa,85,"Dance The Night - From Barbie The Album by, Dua Lipa"
fukumean,Gunna,62,"fukumean by, Gunna"
Daylight,David Kushner,43,"Daylight by, David Kushner"
WHERE SHE GOES,Bad Bunny,80,"WHERE SHE GOES by, Bad Bunny"
Flowers,Miley Cyrus,68,"Flowers by, Miley Cyrus"
La Bebe - Remix,Yng Lvcas,48,"La Bebe - Remix by, Yng Lvcas"
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,58,"Barbie World (with Aqua) [From Barbie The Album] by, Nicki Minaj"
MELTDOWN (feat. Drake),Travis Scott,77,"MELTDOWN (feat. Drake) by, Travis Scott"
LADY GAGA,Peso Pluma,74,"LADY GAGA by, Peso Pluma"
Super Shy,NewJeans,82,"Super Shy by, NewJeans"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,62,"Creepin' (with The Weeknd & 21 Savage) by, Metro Boomin"
bad idea right?,Olivia Rodrigo,88,"bad idea right? by, Olivia Rodrigo"
I KNOW ?,Travis Scott,62,"I KNOW ? by, Travis Scott"
FE!N (feat. Playboi Carti),Travis Scott,88,"FE!N (feat. Playboi Carti) by, Travis Scott"
un x100to,Grupo Frontera,72,"un x100to by, Grupo Frontera"
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,68,"Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series by, The Weeknd"
See You Again (feat. Kali Uchis),"Tyler, The Creator",56,"See You Again (feat. Kali Uchis) by, Tyler, The Creator"
Calm Down (with Selena Gomez),Rema,81,"Calm Down (with Selena Gomez) by, Rema"
Ella Baila Sola,Eslabon Armado,76,"Ella Baila Sola by, Eslabon Armado"
TELEKINESIS (feat. SZA & Future),Travis Scott,54,"TELEKINESIS (feat. SZA & Future) by, Travis Scott"
TULUM,Peso Pluma,87,"TULUM by, Peso Pluma"
SABOR FRESA,Fuerza Regida,86,"SABOR FRESA by, Fuerza Regida"
Baby Don't Hurt Me,David Guetta,91,"Baby Don't Hurt Me by, David Guetta"
Fast Car,Luke Combs,60,"Fast Car by, Luke Combs"
Snooze,SZA,55,"Snooze by, SZA"
K-POP,Travis Scott,62,"K-POP by, Travis Scott"
TQM,Fuerza Regida,85,"TQM by, Fuerza Regida"
AMARGURA,KAROL G,70,"AMARGURA by, KAROL G"
Rich Men North of Richmond,Oliver Anthony Music,26,"Rich Men North of Richmond by, Oliver Anthony Music"
QLONA,KAROL G,76,"QLONA by, KAROL G"
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,76,"I Can See You (Taylor’s Version) (From The Vault) by, Taylor Swift"
MY EYES,Travis Scott,62,"MY EYES by, Travis Scott"
Chemical,Post Malone,90,"Chemical by, Post Malone"
Speed Drive (From Barbie The Album),Charli XCX,88,"Speed Drive (From Barbie The Album) by, Charli XCX"
LAGUNAS,Peso Pluma,62,"LAGUNAS by, Peso Pluma"
Last Night,Morgan Wallen,68,"Last Night by, Morgan Wallen"
Kill Bill,SZA,73,"Kill Bill by, SZA"
MI EX TENÍA RAZÓN,KAROL G,73,"MI EX TENÍA RAZÓN by, KAROL G"
RUBICON,Peso Pluma,82,"RUBICON by, Peso Pluma"
TOPIA TWINS (feat. Rob49 & 21 Savage),Travis Scott,57,"TOPIA TWINS (feat. Rob49 & 21 Savage) by, Travis Scott"
All My Life (feat. J. Cole),Lil Durk,44,"All My Life (feat. J. Cole) by, Lil Durk"
Dial Drunk (with Post Malone),Noah Kahan,61,"Dial Drunk (with Post Malone) by, Noah Kahan"
Search & Rescue,Drake,44,"Search & Rescue by, Drake"
Religiously,Bailey Zimmerman,67,"Religiously by, Bailey Zimmerman"
Thinkin’ Bout Me,Morgan Wallen,76,"Thinkin’ Bout Me by, Morgan Wallen"
Deli,Ice Spice,76,"Deli by, Ice Spice"
Area Codes,Kaliii,39,"Area Codes by, Kaliii"
Princess Diana (with Nicki Minaj),Ice Spice,68,"Princess Diana (with Nicki Minaj) by, Ice Spice"
Dawns (feat. Maggie Rogers),Zach Bryan,44,"Dawns (feat. Maggie Rogers) by, Zach Bryan"
Oh U Went (feat. Drake),Young Thug,79,"Oh U Went (feat. Drake) by, Young Thug"
Oklahoma Smokeshow,Zach Bryan,57,"Oklahoma Smokeshow by, Zach Bryan"
"Burn, Burn, Burn",Zach Bryan,30,"Burn, Burn, Burn by, Zach Bryan"
Need A Favor,Jelly Roll,77,"Need A Favor by, Jelly Roll"
Cupid,FIFTY FIFTY,66,"Cupid by, FIFTY FIFTY"
Jaded,Miley Cyrus,59,"Jaded by, Miley Cyrus"
In Your Love,Tyler Childers,41,"In Your Love by, Tyler Childers"
Stand By Me (feat. Morgan Wallen),Lil Durk,58,"Stand By Me (feat. Morgan Wallen) by, Lil Durk"
White Horse,Chris Stapleton,77,"White Horse by, Chris Stapleton"
Try That In A Small Town,Jason Aldean,86,"Try That In A Small Town by, Jason Aldean"
Peaches & Eggplants (feat. 21 Savage),Young Nudy,54,"Peaches & Eggplants (feat. 21 Savage) by, Young Nudy"
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,67,"Johnny Dang (with Paul Wall & DRODi) by, That Mexican OT"
Barely Holdin' On,Polo G,58,"Barely Holdin' On by, Polo G"
Turn Yo Clic Up (feat. Future),Quavo,56,"Turn Yo Clic Up (feat. Future) by, Quavo"
Heartbroken (feat. Jessie Murph & Polo G),Diplo,62,"Heartbroken (feat. Jessie Murph & Polo G) by, Diplo"
Favorite Song,Toosii,37,"Favorite Song by, Toosii"
Next Thing You Know,Jordan Davis,60,"Next Thing You Know by, Jordan Davis"
What It Is (Block Boy) (with Kodak Black),Doechii,74,"What It Is (Block Boy) (with Kodak Black) by, Doechii"
Lose Control,Teddy Swims,60,"Lose Control by, Teddy Swims"
Karma (feat. Ice Spice),Taylor Swift,62,"Karma (feat. Ice Spice) by, Taylor Swift"
Watermelon Moonshine,Lainey Wilson,41,"Watermelon Moonshine by, Lainey Wilson"
Put It On Da Floor Again (feat. Cardi B),Latto,61,"Put It On Da Floor Again (feat. Cardi B) by, Latto"
Your Heart Or Mine,Jon Pardi,71,"Your Heart Or Mine by, Jon Pardi"
Pretty Little Poison,Warren Zeiders,56,"Pretty Little Poison by, Warren Zeiders"
S91,KAROL G,72,"S91 by, KAROL G"
Aint Gotta Dollar,Oliver Anthony Music,9,"Aint Gotta Dollar by, Oliver Anthony Music"
Call Your Friends,Rod Wave,66,"Call Your Friends by, Rod Wave"
The Painter,Cody Johnson,71,"The Painter by, Cody Johnson"
SHAKE SUMN,DaBaby,77,"SHAKE SUMN by, DaBaby"
Good Good,USHER,67,"Good Good by, USHER"
EL AMOR DE SU VIDA,Grupo Frontera,83,"EL AMOR DE SU VIDA by, Grupo Frontera"
Fight The Feeling,Rod Wave,54,"Fight The Feeling by, Rod Wave"
Save Me,Jelly Roll,40,"Save Me by, Jelly Roll"
Angels (Don’t Always Have Wings),Thomas Rhett,60,"Angels (Don’t Always Have Wings) by, Thomas Rhett"
F*ck U Thought,Lil Durk,56,"F*ck U Thought by, Lil Durk"
Mona Lisa,Dominic Fike,65,"Mona Lisa by, Dominic Fike"
Summer Too Hot,Chris Brown,71,"Summer Too Hot by, Chris Brown"
Anti-Hero,Taylor Swift,63,"Anti-Hero by, Taylor Swift"
Love You Anyway,Luke Combs,49,"Love You Anyway by, Luke Combs"
"You, Me, And Whiskey",Justin Moore,88,"You, Me, And Whiskey by, Justin Moore"
TRUCK BED,HARDY,77,"TRUCK BED by, HARDY"
Everything I Love,Morgan Wallen,85,"Everything I Love by, Morgan Wallen"
Bury Me in Georgia,Kane Brown,84,"Bury Me in Georgia by, Kane Brown"
Standing Room Only,Tim McGraw,78,"Standing Room Only by, Tim McGraw"
Girl In Mine,Parmalee,68,"Girl In Mine by, Parmalee"
Blinding Lights,The Weeknd,73,"Blinding Lights by, The Weeknd"
Heat Waves,Glass Animals,53,"Heat Waves by, Glass Animals"
Watermelon Sugar,Harry Styles,82,"Watermelon Sugar by, Harry Styles"
Save Your Tears,The Weeknd,83,"Save Your Tears by, The Weeknd"
drivers license,Olivia Rodrigo,43,"drivers license by, Olivia Rodrigo"
deja vu,Olivia Rodrigo,61,"deja vu by, Olivia Rodrigo"
Happier Than Ever,Billie Eilish,23,"Happier Than Ever by, Billie Eilish"
traitor,Olivia Rodrigo,34,"traitor by, Olivia Rodrigo"
good 4 u,Olivia Rodrigo,66,"good 4 u by, Olivia Rodrigo"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,52,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault) by, Taylor Swift"
Woman,Doja Cat,76,"Woman by, Doja Cat"
Shivers,Ed Sheeran,86,"Shivers by, Ed Sheeran"
Bad Habits,Ed Sheeran,89,"Bad Habits by, Ed Sheeran"
STAY (with Justin Bieber),The Kid LAROI,76,"STAY (with Justin Bieber) by, The Kid LAROI"
Fair Trade (with Travis Scott),Drake,47,"Fair Trade (with Travis Scott) by, Drake"
Cold Heart - PNAU Remix,Elton John,80,"Cold Heart - PNAU Remix by, Elton John"
Beggin',Måneskin,80,"Beggin' by, Måneskin"
telepatía,Kali Uchis,52,"telepatía by, Kali Uchis"
Love Story (Taylor’s Version),Taylor Swift,79,"Love Story (Taylor’s Version) by, Taylor Swift"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,70,"Peaches (feat. Daniel Caesar & Giveon) by, Justin Bieber"
Easy On Me,Adele,37,"Easy On Me by, Adele"
Yonaguni,Bad Bunny,65,"Yonaguni by, Bad Bunny"
positions,Ariana Grande,80,"positions by, Ariana Grande"
Pepas,Farruko,77,"Pepas by, Farruko"
THATS WHAT I WANT,Lil Nas X,85,"THATS WHAT I WANT by, Lil Nas X"
Leave Before You Love Me (with Jonas Brothers),Marshmello,74,"Leave Before You Love Me (with Jonas Brothers) by, Marshmello"
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,83,"Save Your Tears (with Ariana Grande) (Remix) by, The Weeknd"
Leave The Door Open,Bruno Mars,62,"Leave The Door Open by, Bruno Mars"
You Right,Doja Cat,62,"You Right by, Doja Cat"
I WANNA BE YOUR SLAVE,Måneskin,61,"I WANNA BE YOUR SLAVE by, Måneskin"
Streets,Doja Cat,46,"Streets by, Doja Cat"
Mood (feat. iann dior),24kGoldn,72,"Mood (feat. iann dior) by, 24kGoldn"
Dynamite,BTS,77,"Dynamite by, BTS"
Heartbreak Anniversary,Giveon,47,"Heartbreak Anniversary by, Giveon"
willow,Taylor Swift,57,"willow by, Taylor Swift"
love nwantiti (ah ah ah),CKay,74,"love nwantiti (ah ah ah) by, CKay"
LA NOCHE DE ANOCHE,Bad Bunny,62,"LA NOCHE DE ANOCHE by, Bad Bunny"
What You Know Bout Love,Pop Smoke,55,"What You Know Bout Love by, Pop Smoke"
Good Days,SZA,66,"Good Days by, SZA"
MONEY,LISA,55,"MONEY by, LISA"
My Universe,Coldplay,70,"My Universe by, Coldplay"
Calling My Phone,Lil Tjay,39,"Calling My Phone by, Lil Tjay"
RAPSTAR,Polo G,54,"RAPSTAR by, Polo G"
Head & Heart (feat. MNEK),Joel Corry,87,"Head & Heart (feat. MNEK) by, Joel Corry"
34+35,Ariana Grande,59,"34+35 by, Ariana Grande"
The Business,Tiësto,62,"The Business by, Tiësto"
DÁKITI,Bad Bunny,57,"DÁKITI by, Bad Bunny"
Prisoner (feat. Dua Lipa),Miley Cyrus,67,"Prisoner (feat. Dua Lipa) by, Miley Cyrus"
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,68,"Beautiful Mistakes (feat. Megan Thee Stallion) by, Maroon 5"
m y . l i f e (with 21 Savage & Morray),J. Cole,59,"m y . l i f e (with 21 Savage & Morray) by, J. Cole"
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,69,"INDUSTRY BABY (feat. Jack Harlow) by, Lil Nas X"
Kiss Me More (feat. SZA),Doja Cat,70,"Kiss Me More (feat. SZA) by, Doja Cat"
Butter,BTS,46,"Butter by, BTS"
Todo De Ti,Rauw Alejandro,72,"Todo De Ti by, Rauw Alejandro"
Girls Want Girls (with Lil Baby),Drake,44,"Girls Want Girls (with Lil Baby) by, Drake"
Permission to Dance,BTS,74,"Permission to Dance by, BTS"
Meet Me At Our Spot,THE ANXIETY,47,"Meet Me At Our Spot by, THE ANXIETY"
Praise God,Kanye West,55,"Praise God by, Kanye West"
Astronaut In The Ocean,Masked Wolf,70,"Astronaut In The Ocean by, Masked Wolf"
Your Power,Billie Eilish,28,"Your Power by, Billie Eilish"
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,81,"Summer of Love (Shawn Mendes & Tainy) by, Shawn Mendes"
Life Goes On,Oliver Tree,49,"Life Goes On by, Oliver Tree"
MONTERO (Call Me By Your Name),Lil Nas X,51,"MONTERO (Call Me By Your Name) by, Lil Nas X"
pov,Ariana Grande,53,"pov by, Ariana Grande"
We're Good,Dua Lipa,59,"We're Good by, Dua Lipa"
Motley Crew,Post Malone,63,"Motley Crew by, Post Malone"
Levitating (feat. DaBaby),Dua Lipa,83,"Levitating (feat. DaBaby) by, Dua Lipa"
Build a Bitch,Bella Poarch,46,"Build a Bitch by, Bella Poarch"
Bandido,Myke Towers,62,"Bandido by, Myke Towers"
Therefore I Am,Billie Eilish,34,"Therefore I Am by, Billie Eilish"
GIRL LIKE ME,Black Eyed Peas,49,"GIRL LIKE ME by, Black Eyed Peas"
BICHOTA,KAROL G,67,"BICHOTA by, KAROL G"
Lemonade,Internet Money,66,"Lemonade by, Internet Money"
Best Friend (feat. Doja Cat),Saweetie,77,"Best Friend (feat. Doja Cat) by, Saweetie"
What’s Next,Drake,59,"What’s Next by, Drake"
Hurricane,Kanye West,56,"Hurricane by, Kanye West"
Whoopty,CJ,65,"Whoopty by, CJ"
Anyone,Justin Bieber,54,"Anyone by, Justin Bieber"
Afterglow,Ed Sheeran,32,"Afterglow by, Ed Sheeran"
Skate,Bruno Mars,60,"Skate by, Bruno Mars"
Up,Cardi B,80,"Up by, Cardi B"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,54,"Baila Conmigo (with Rauw Alejandro) by, Selena Gomez"
WITHOUT YOU (with Miley Cyrus),The Kid LAROI,47,"WITHOUT YOU (with Miley Cyrus) by, The Kid LAROI"
Lost Cause,Billie Eilish,33,"Lost Cause by, Billie Eilish"
On The Ground,ROSÉ,61,"On The Ground by, ROSÉ"
Hold On,Justin Bieber,63,"Hold On by, Justin Bieber"
Body,Megan Thee Stallion,73,"Body by, Megan Thee Stallion"
Dick (feat. Doja Cat),StarBoi3,61,"Dick (feat. Doja Cat) by, StarBoi3"
Solar Power,Lorde,48,"Solar Power by, Lorde"
Rumors (feat. Cardi B),Lizzo,73,"Rumors (feat. Cardi B) by, Lizzo"
Arcade (feat. FLETCHER),Duncan Laurence,40,"Arcade (feat. FLETCHER) by, Duncan Laurence"
late at night,Roddy Ricch,40,"late at night by, Roddy Ricch"
As I Am (feat. Khalid),Justin Bieber,54,"As I Am (feat. Khalid) by, Justin Bieber"
test drive,Ariana Grande,71,"test drive by, Ariana Grande"
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,66,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix by, Ariana Grande"
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,83,"t r a n s p a r e n t s o u l feat. Travis Barker by, WILLOW"
Need to Know,Doja Cat,61,"Need to Know by, Doja Cat"
Girl From Rio,Anitta,64,"Girl From Rio by, Anitta"
Selfish Love (with Selena Gomez),DJ Snake,65,"Selfish Love (with Selena Gomez) by, DJ Snake"
Met Him Last Night (feat. Ariana Grande),Demi Lovato,51,"Met Him Last Night (feat. Ariana Grande) by, Demi Lovato"
Everybody Wants To Rule The World,Tears For Fears,80,"Everybody Wants To Rule The World by, Tears For Fears"
Take on Me,a-ha,90,"Take on Me by, a-ha"
Mr. Brightside,The Killers,91,"Mr. Brightside by, The Killers"
Dreams - 2004 Remaster,Fleetwood Mac,49,"Dreams - 2004 Remaster by, Fleetwood Mac"
Ain't No Mountain High Enough,Marvin Gaye,60,"Ain't No Mountain High Enough by, Marvin Gaye"
I'm Still Standing,Elton John,90,"I'm Still Standing by, Elton John"
Africa,TOTO,37,"Africa by, TOTO"
Running Up That Hill (A Deal With God),Kate Bush,55,"Running Up That Hill (A Deal With God) by, Kate Bush"
